collateral,loan,borrow_usd,collateral_usd,pool,fee,block,collateral_virtual_reserve_usd,f_1pct_sale,f_5pct_sale,marginal_gain_eta_1pct_1pct_sale,marginal_gain_eta_1pct_5pct_sale
WBTC,USDC,125101894.89464882,233592317.90379962,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,3000,25345235,54967235.334254963697794529610733143375036842862835331086296956332030473613148302,0.042496646681123420276153435337848862797920726463168389931861212921082881426628555,0.21248323340561710138076717668924431398960363231584194965930606460541440713314278,8.4993293362246840552306870675697725595841452926336779863722425842165762853257110,42.496646681123420276153435337848862797920726463168389931861212921082881426628556
WBTC,WETH,103175.2850143928,229307.02024826125,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,500,25345235,283619295.77119288764579788183343595349062788033084976927131511369153587478956996,0.0000080850288985010547927116420081695189701028308514221104087113182652675385912067308,0.000040425144492505273963558210040847594850514154257110552043556591326337692956033654,0.0016170057797002109585423284016339037940205661702844220817422636530535077182413462,0.0080850288985010547927116420081695189701028308514221104087113182652675385912067308
WETH,USDC,3328415.655599765,6202246.979035055,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500,25345235,242634634.12976675690553014297962977380965678542937141688291761415499402530134045,0.00025562084330128839795944009870073708489549911778314307377202499982188412561092254,0.0012781042165064419897972004935036854244774955889157153688601249991094206280546127,0.051124168660257679591888019740147416979099823556628614754404999964376825122184508,0.25562084330128839795944009870073708489549911778314307377202499982188412561092254
