marketId,chainId,collateral_symbol,collateral_address,loan_symbol,loan_address,borrow_usd,collateral_usd
0x7384bd82fb2f2a562555d4aab25583b4e40deed124b7c95dc16be34547434193,1,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,EURC,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,24621.603469284342,57858.31914390913
0xc54d7acf14de29e0e5527cabd7a576506870346a78a11a6762e2cca66322ec41,1,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,24254.031837120536,29349.978831071305
0xa5beccdffd156dfe8c0871f143648c512f0a34f37c8a4ae2ff31ebfe944641d1,1,sUSDS,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,21300.18984389094,23571.598506237704
0x3c5a244b778095e1e1b2e44b7c2ecc9bf4fda9cd85cc22740e09205a7a4bf510,1,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,21085.42275244733,30891.722838307578
0x3eb3899b02600e4c5c626a1dc3f9167c08d0675b7adbdd0daf78111574234f8b,1,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,USDS,0xdC035D45d973E3EC169d2276DDab16f1e407384F,19370.01967879875,26309.652572467643
0x9d582055d36f8d8b3b5924b9be6b8357fd766c635592a1ca8dac5f31c6acca04,1,ynRWAx,0x01Ba69727E2860b37bc1a2bd56999c1aFb4C15D8,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,18024.252577392923,39434.65403577061
0x2049bea9dfae8189895616ff4bf229c9c664e266b29c9ffe692b100be4879714,1,ARM-WETH-stETH,0x85B78AcA6Deae198fBF201c82DAF6Ca21942acc6,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,17332.022278820554,19969.681468570518
0x85c7f4374f3a403b36d54cc284983b2b02bbd8581ee0f3c36494447b87d9fcab,1,sUSDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,15000.490763949581,31994.57175852346
0x6a6c8e41a6a7ccbea68e1e6a19ece1fdd863b2b6c9e0f71bbcd4dcbe8b1062e8,1,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,14044.336992265517,21038.082752312264
0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,1,USUALX,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,13606.094325328635,14626.817259809752
0x29ae8cad946d861464d5e829877245a863a18157c0cde2c3524434dafa34e476,1,sUSDD,0xC5d6A7B61d18AfA11435a889557b068BB9f29930,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,13526.758690092416,15626.3513132042
0xf78b7d3a62437f78097745a5e3117a50c56a02ec5f072cba8d988a129c6d4fb6,1,beraSTONE,0x97Ad75064b20fb2B2447feD4fa953bF7F007a706,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11983.497919859019,26734.733696482755
0x554a7c19653b5b58b9e7e8349ae89f50f36298e02b44fb196816fc018fea4031,1,xCVX,0xB90D347e10a085B591955Cbd0603aC7866fCADC8,ZCHF,0xB58E61C3098d85632Df34EecfB899A1Ed80921cB,11812.131285783347,35175.41502133825
0x8bfd8f4f146c660f201a34b7a05d5eade3dc95b7b329210703855b60ad871a24,1,tETH,0xD11c452fc99cF405034ee446803b6F6c1F6d5ED8,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11755.068631041693,13875.582526681403
